epoch,D_loss,G_loss,W_rmse,W_mae,W_r2
1,6.988829260473853,-20.843433758160014,0.16388490796089172,0.162852942943573,-74.35908508300781
2,4.451861675795134,-31.55260994198086,0.16193294525146484,0.1609458476305008,-72.57463836669922
3,2.9104387217813783,-35.261134044544114,0.16001975536346436,0.15898925065994263,-70.84637451171875
4,1.3725455180481747,-41.33705008566916,0.15600477159023285,0.1548704206943512,-67.28627014160156
5,-0.7297395776520978,-67.90322192080386,0.14308765530586243,0.14172011613845825,-56.4462890625
6,-3.8036787069595612,-112.92126409857123,0.11906195431947708,0.1168489083647728,-38.7744026184082
7,-7.2745061167725575,-188.0279913893691,0.09140202403068542,0.08725322782993317,-22.440629959106445
8,-8.327335724959502,-276.07758716205217,0.06720311939716339,0.060286931693553925,-11.671746253967285
9,-6.3378972824629365,-335.9975453282262,0.049073249101638794,0.04025375843048096,-5.75689697265625
10,-2.3972970059326104,-323.3221901558541,0.0390489287674427,0.030639078468084335,-3.278346061706543
11,-0.8591015009998201,-288.21682454014683,0.031665150076150894,0.02475019544363022,-1.8133304119110107
12,0.2299421980708569,-221.77088371483055,0.02830529399216175,0.022215180099010468,-1.2479829788208008
13,0.24079757311322667,-202.98406807152,0.02604910172522068,0.02055981196463108,-0.9038956165313721
14,0.15102628618478775,-171.26027895953203,0.02449708618223667,0.019446825608611107,-0.6837843656539917
15,0.08742514131842433,-166.74163955825944,0.023257248103618622,0.01844840683043003,-0.5176593065261841
16,0.19002656752730276,-181.78258201667853,0.022266719490289688,0.0176473930478096,-0.3911377191543579
17,0.6493943519554697,-186.14278851758252,0.021387862041592598,0.016898924484848976,-0.2834899425506592
18,0.00027112364097758455,-166.59095606073603,0.020154543220996857,0.015754928812384605,-0.139734148979187
19,0.4090605838610245,-193.54250211973448,0.019587531685829163,0.015242023393511772,-0.07650744915008545
20,0.1899549304969139,-174.8727595698726,0.019388796761631966,0.014963099732995033,-0.054773807525634766
21,0.1463436824647156,-185.9288192611557,0.019279247149825096,0.014923352748155594,-0.04288828372955322
22,0.11743037609031072,-184.40947833361926,0.01910855993628502,0.014729730784893036,-0.02450382709503174
23,0.11421482937897111,-168.05173210625176,0.019312558695673943,0.014872011728584766,-0.04649543762207031
24,0.17751257910250542,-264.66122835176486,0.019406599923968315,0.015079928562045097,-0.056711792945861816
25,0.4210393334495592,-226.09494479067692,0.0195253137499094,0.01529020443558693,-0.06967949867248535
26,0.09291620284050435,-158.13970225566143,0.019328944385051727,0.01499093696475029,-0.048271894454956055
27,0.09830122464546212,-172.49084115243173,0.019468920305371284,0.01506217010319233,-0.06350946426391602
28,0.1426023750624678,-196.25791037619652,0.019693614915013313,0.015370318666100502,-0.08819949626922607
29,0.042141444083336775,-156.86924008206205,0.019833698868751526,0.0154137397184968,-0.10373568534851074
30,0.01985067265057886,-172.1352733577694,0.019461801275610924,0.015093140304088593,-0.06273198127746582
