epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,7.448024103718419,-16.160153568431895,0.16453740000724792,0.1635141372680664,-74.9603500366211,93
2,6.090519161634548,-32.24894722559119,0.16286417841911316,0.1618642359972,-73.42327880859375,186
3,4.499672979436895,-42.84255210302209,0.1613953560590744,0.16037486493587494,-72.08692932128906,279
4,3.345469331228605,-44.11298120150002,0.16020207107067108,0.15915247797966003,-71.01017761230469,372
5,2.2870171249553723,-43.698443546090076,0.15887285768985748,0.15779604017734528,-69.82018280029297,465
6,1.4638389925802908,-47.848031915644164,0.15626952052116394,0.15516023337841034,-67.51824188232422,558
7,0.5713458638037404,-40.997886985860845,0.15271157026290894,0.15149807929992676,-64.4337158203125,651
8,0.05116569226787936,-52.9552973265289,0.14579181373119354,0.1443593055009842,-58.63812255859375,744
9,-1.225569584036386,-67.86218007405598,0.134221613407135,0.13248930871486664,-49.54783630371094,837
10,-1.1168498832692382,-88.4301247545468,0.12146865576505661,0.1193075180053711,-40.398643493652344,930
11,-2.9765954479094474,-111.21700959564537,0.10336879640817642,0.10026556253433228,-28.980344772338867,1023
12,-3.8537261409144246,-138.5145792807302,0.08439379185438156,0.07967962324619293,-18.98382568359375,1116
13,-3.3069735573184107,-160.91332573019048,0.06805974245071411,0.06150193139910698,-11.996855735778809,1209
14,-2.9580644279397945,-182.56188193700646,0.052895933389663696,0.044859953224658966,-6.850588798522949,1302
15,-1.7988101194302242,-194.79734556136592,0.04106951877474785,0.03260844573378563,-3.7325682640075684,1395
16,-0.463651388082453,-186.55933585218204,0.03380287438631058,0.026500385254621506,-2.2060108184814453,1488
17,0.11079283987963072,-137.53554190358807,0.029587402939796448,0.0236493069678545,-1.4562432765960693,1581
18,0.3579421809283636,-112.32723154047484,0.02721300721168518,0.021840523928403854,-1.0778334140777588,1674
19,0.3522564640609167,-92.50808674802062,0.025895975530147552,0.020889410749077797,-0.8815779685974121,1767
20,0.30459351821612285,-73.50351099814138,0.025131409987807274,0.020324479788541794,-0.7721129655838013,1860
21,0.1759333799603165,-66.73766913465275,0.024488860741257668,0.019848573952913284,-0.6826539039611816,1953
22,0.25564121174555954,-65.22046858264554,0.023753784596920013,0.019231190904974937,-0.583154559135437,2046
23,0.0691651582557668,-67.38992260348412,0.022945309057831764,0.01850099302828312,-0.47722113132476807,2139
24,0.09523170072865743,-71.97851127706548,0.022246310487389565,0.01784578152000904,-0.38858890533447266,2232
25,0.0853144732374017,-76.21441264819073,0.0216373223811388,0.017223266884684563,-0.31360459327697754,2325
26,0.06825828640371241,-78.68270225935085,0.02112317830324173,0.01668647676706314,-0.2519190311431885,2418
27,0.10968133398602085,-87.7928962297337,0.020605359226465225,0.016225988045334816,-0.1912914514541626,2511
28,0.08753579077861642,-81.57869228239983,0.020386815071105957,0.015987001359462738,-0.16615533828735352,2604
29,0.08011289938322959,-81.71067498319893,0.020289208739995956,0.015901079401373863,-0.15501582622528076,2697
30,0.08262627728043064,-82.60728077221943,0.020223505795001984,0.01581297442317009,-0.14754724502563477,2790
31,0.09542862906731585,-85.59365623228011,0.02005922608077526,0.015686066821217537,-0.12897932529449463,2883
32,0.07498846307236662,-84.83474936536564,0.020054301247000694,0.015682656317949295,-0.1284252405166626,2976
33,0.05715839504714935,-85.1351790069252,0.020051242783665657,0.015651175752282143,-0.12808072566986084,3069
34,0.054756568063811586,-85.39840197819535,0.020069526508450508,0.015585415065288544,-0.13013923168182373,3162
35,0.056987128090313685,-91.87908705844674,0.01992979273200035,0.015487969852983952,-0.11445677280426025,3255
36,0.052729585197984534,-95.85428233813214,0.0196303091943264,0.015287044458091259,-0.08121466636657715,3348
37,0.04822137310940732,-94.70010933824764,0.019298439845442772,0.015063230879604816,-0.04496562480926514,3441
38,0.03371000139703674,-93.0227307555496,0.019005395472049713,0.014844502322375774,-0.013471364974975586,3534
