epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,7.526980870809311,-12.635646799336309,0.18041928112506866,0.18011288344860077,-288.923095703125,234
2,6.0075710736788235,-21.588040455527928,0.1796971559524536,0.1793883591890335,-286.6069030761719,468
3,5.74030208791423,-24.864434864210047,0.17898616194725037,0.17866942286491394,-284.33551025390625,702
4,5.51802716907273,-29.24836021920909,0.1783890426158905,0.1780651956796646,-282.4348449707031,936
5,5.18721224915268,-32.09724795300028,0.17776955664157867,0.17742574214935303,-280.4697570800781,1170
6,5.142207133464324,-32.18102160744045,0.17724552750587463,0.1768815964460373,-278.812744140625,1404
7,4.8959993704771385,-34.1491876685101,0.1766045242547989,0.17621995508670807,-276.79254150390625,1638
8,4.811993461388808,-36.70643914264181,0.17582599818706512,0.17541693150997162,-274.3487548828125,1872
9,4.5664005524072895,-36.759918876316235,0.175128772854805,0.1746920794248581,-272.1693115234375,2106
10,4.229692724015978,-38.62538536735203,0.1744534820318222,0.1739838719367981,-270.0667419433594,2340
11,2.209902329832061,-38.237746280172594,0.17266808450222015,0.17215488851070404,-264.5467834472656,2574
12,-0.21099295091425252,-45.52962746827499,0.167028546333313,0.16639499366283417,-247.4839630126953,2808
13,-2.4130144868141565,-64.65456664043924,0.15738481283187866,0.1565922498703003,-219.61883544921875,3042
14,-4.701041816900938,-94.4067737745202,0.14542581140995026,0.1444978266954422,-187.3648681640625,3276
15,-6.975363581608503,-131.90987296726394,0.13323743641376495,0.13213767111301422,-157.1136932373047,3510
16,-9.344440208541023,-168.93654466711956,0.12096894532442093,0.11974497884511948,-129.33609008789062,3744
17,-11.002316160589201,-203.07566335926884,0.10951614379882812,0.10814901441335678,-105.8250732421875,3978
18,-12.425859312725882,-243.59009087604025,0.09927109628915787,0.09771306812763214,-86.77333068847656,4212
19,-13.632027050623527,-279.6886065939198,0.08994736522436142,0.08817742764949799,-71.05992889404297,4446
20,-13.301535068668871,-302.1952003810717,0.08201427757740021,0.08002957701683044,-58.90952682495117,4680
21,-14.228644748019358,-328.35394585650903,0.07463289797306061,0.07242701202630997,-48.61095428466797,4914
22,-13.245837035087439,-360.24726635476816,0.0680406391620636,0.06558378040790558,-40.23383712768555,5148
23,-12.891013165314993,-381.41003683338994,0.061995554715394974,0.05928768590092659,-33.232452392578125,5382
24,-12.210659344481607,-398.93080669900644,0.056780342012643814,0.05379705876111984,-27.715272903442383,5616
25,-11.907797898492243,-411.9904705545177,0.051896847784519196,0.04870688542723656,-22.988265991210938,5850
26,-11.384467692201973,-436.3776656441067,0.04778752848505974,0.04443688690662384,-19.339771270751953,6084
27,-10.220569211957802,-446.86550372579825,0.04415885731577873,0.04058374837040901,-16.36810874938965,6318
28,-9.36152364861252,-452.5930341637653,0.04104042798280716,0.037320785224437714,-14.001707077026367,6552
29,-9.528334053153666,-436.3287300441576,0.03822585940361023,0.03439497947692871,-12.014617919921875,6786
30,-8.479317983500978,-447.1702502706776,0.03592537343502045,0.03202274441719055,-10.495278358459473,7020
31,-9.379818049760965,-437.8384406048319,0.033907193690538406,0.029993651434779167,-9.240015029907227,7254
32,-9.03632637578198,-471.5549037767493,0.03214982524514198,0.028233744204044342,-8.20606803894043,7488
33,-8.828080803920061,-486.8719608472741,0.030593274161219597,0.026655104011297226,-7.336214065551758,7722
34,-9.51155380764578,-477.9056117845618,0.029355986043810844,0.02541649341583252,-6.675564289093018,7956
35,-10.18777953253852,-488.75812563688856,0.0283359307795763,0.02440015599131584,-6.151413440704346,8190
36,-10.142421929754763,-475.69964599609375,0.027537129819393158,0.023598430678248405,-5.753893852233887,8424
37,-11.281288709905413,-494.69165967858356,0.026885954663157463,0.02294733002781868,-5.438249588012695,8658
38,-12.067096469748734,-537.3065484088401,0.026347745209932327,0.022411948069930077,-5.183064937591553,8892
39,-13.07621893312177,-514.4591907003652,0.025930026546120644,0.021993670612573624,-4.9885663986206055,9126
40,-14.210754469419138,-526.4750220257303,0.02560410276055336,0.02167125605046749,-4.838967800140381,9360
41,-14.838550717912169,-525.7523120382558,0.025361988693475723,0.0214214026927948,-4.729062557220459,9594
42,-15.448636923080835,-541.4483715554942,0.025193383917212486,0.02126031555235386,-4.65314245223999,9828
43,-16.131226257890717,-534.7297767970873,0.025055449455976486,0.021118981763720512,-4.591409206390381,10062
44,-16.623350844423996,-549.0566346541694,0.024957925081253052,0.02102125622332096,-4.547966957092285,10296
45,-17.24014645152622,-533.5682240361753,0.02488490380346775,0.020950324833393097,-4.515550136566162,10530
46,-17.44192374873365,-564.1423081107762,0.024832511320710182,0.02089635469019413,-4.492349624633789,10764
47,-17.69412891783266,-548.0637180494225,0.024803059175610542,0.02086709253489971,-4.479330062866211,10998
48,-17.8839885658688,-547.876685101053,0.024786202237010002,0.020850475877523422,-4.471884727478027,11232
49,-17.860655235429096,-549.1261915123981,0.024779140949249268,0.02084343321621418,-4.468767166137695,11466
50,-18.0929816217504,-547.1621319314708,0.024777458980679512,0.020841747522354126,-4.468024730682373,11700
