epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,7.317919121948939,-16.852226064755367,0.17972393333911896,0.17920136451721191,-167.62794494628906,263
2,5.7679212900169,-23.78611051119291,0.17875778675079346,0.17822545766830444,-165.81982421875,526
3,5.636843822754835,-29.482048291426437,0.17752589285373688,0.17698673903942108,-163.5284881591797,789
4,5.326444134512782,-30.093210697174072,0.17658913135528564,0.17602503299713135,-161.7967071533203,1052
5,5.597449703361598,-28.299183515401985,0.17597413063049316,0.17539596557617188,-160.6647491455078,1315
6,5.302631224062959,-27.60461689875676,0.17521485686302185,0.17457351088523865,-159.272705078125,1578
7,3.9111463053598152,-32.21400734094473,0.17470943927764893,0.17403797805309296,-158.34939575195312,1841
8,1.9596553850536564,-31.520397369678204,0.1742108017206192,0.17352598905563354,-157.44110107421875,2104
9,0.9926418986157319,-30.51177116540762,0.17336393892765045,0.1726495623588562,-155.90444946289062,2367
10,0.5349140765549112,-33.378706198472244,0.17200644314289093,0.17117220163345337,-153.4568328857422,2630
11,0.19520192624498228,-34.215513742887055,0.16946865618228912,0.16855862736701965,-148.93275451660156,2893
12,-0.14282001333998184,-38.67990299371573,0.165659561753273,0.1647043079137802,-142.26849365234375,3156
13,-0.559816016443782,-47.201007292820854,0.1597597599029541,0.15876488387584686,-132.2454833984375,3419
14,-1.1399902489475424,-62.7390801356389,0.15133583545684814,0.15034575760364532,-118.56423950195312,3682
15,-1.9218647074336788,-85.44133017613338,0.1393781453371048,0.13821378350257874,-100.41613006591797,3945
16,-3.0782308099161084,-110.60947198134203,0.12394525110721588,0.12247581779956818,-79.20057678222656,4208
17,-4.3167100276783845,-143.675991498507,0.10706277191638947,0.10527083277702332,-58.840423583984375,4471
18,-4.817288370413472,-183.93443254324106,0.09102240204811096,0.08887442946434021,-42.252803802490234,4734
19,-4.737113902210736,-214.77961584237906,0.07578073441982269,0.07307927310466766,-28.980255126953125,4997
20,-3.962290396481866,-231.5555980388935,0.06322278827428818,0.05995943769812584,-19.86724090576172,5260
21,-3.2137876426085774,-257.37703294020434,0.05201983079314232,0.048071879893541336,-13.127182960510254,5523
22,-1.1601446842059437,-262.47264157808746,0.04308713600039482,0.038519445806741714,-8.691990852355957,5786
23,-0.02748723492422938,-185.47725046597995,0.03927815333008766,0.034649789333343506,-7.0541534423828125,6049
24,0.7086165574566946,-177.16221736027643,0.03574807941913605,0.031179286539554596,-5.671494960784912,6312
25,1.2004075789179638,-177.07104991032526,0.032176606357097626,0.027574364095926285,-4.405031204223633,6575
